1	322	44.2	31	351	44.5 
2  	317	44.3	32	354	45.0 
3  	319	44.4	33	355	44.8 
4  	323	43.4	34	357	44.9 
5  	327	42.8	35	362	45.2 
6  	328	44.3	36	368	45.2 
7  	325	44.4	37	348	45.0 
8  	326	44.8	38	345	45.5 
9  	330	44.4	39	349	46.2 
10 	334	43.1	40	355	46.8 
11 	337	42.6	41	362	47.5 
12 	341	42.4	42	367	48.3 
13 	322	42.2	43	366	48.3 
14 	318	41.8	44	370	49.1 
15 	320	40.1	45	371	48.9 
16 	326	42.0	46	375	49.4 
17 	332	42.4	47	380	50.0 
18 	334	43.1	48	385	50.0 
19 	335	42.4	49	361	49.6 
20 	336	43.1	50	354	49.9 
21 	335	43.2	51	357	49.6 
22 	338	42.8	52	367	50.7 
23 	342	43.0	53	376	50.7 
24 	348	42.8	54	381	50.9 
25 	330	42.5	55	381	50.5 
26 	326	42.6	56	383	51.2 
27 	329	42.3	57	384	50.7 
28 	337	42.9	58	387	50.3 
29 	345	43.6	59	392	49.2 
30 	350	44.7	60	396	48.1 
